Name;Party;Parliament;Profile
Marco Buschmann; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/marco-buschmann/fragen-antworten?page=0
Hakan Demir; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/hakan-demir/fragen-antworten?page=0
Hubertus Heil; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/hubertus-heil/fragen-antworten?page=0
Marie-Agnes Strack-Zimmermann; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/marie-agnes-strack-zimmermann/fragen-antworten?page=0
Stephan Brandner; AfD;Bundestag;https://www.abgeordnetenwatch.de//profile/stephan-brandner/fragen-antworten?page=0
Christian Lindner; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/christian-lindner/fragen-antworten?page=0
Robert Habeck; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/robert-habeck/fragen-antworten?page=0
Rolf Mützenich; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/rolf-muetzenich/fragen-antworten?page=0
Katrin Göring-Eckardt; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/katrin-goering-eckardt/fragen-antworten?page=0
Volker Wissing; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/volker-wissing/fragen-antworten?page=0
Bärbel Bas; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/baerbel-bas/fragen-antworten?page=0
Thorsten Frei; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/thorsten-frei/fragen-antworten?page=0
Gregor Gysi; DIE LINKE;Bundestag;https://www.abgeordnetenwatch.de//profile/gregor-gysi/fragen-antworten?page=0
Omid Nouripour; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/omid-nouripour/fragen-antworten?page=0
Anton Hofreiter; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/anton-hofreiter/fragen-antworten?page=0
Johann Saathoff; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/johann-saathoff/fragen-antworten?page=0
Josip Juratovic; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/josip-juratovic/fragen-antworten?page=0
Kirsten Kappert-Gonther; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/kirsten-kappert-gonther/fragen-antworten?page=0
Dietmar Bartsch; DIE LINKE;Bundestag;https://www.abgeordnetenwatch.de//profile/dietmar-bartsch/fragen-antworten?page=0
Carmen Wegge; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/carmen-wegge/fragen-antworten?page=0
Dirk Wiese; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/dirk-wiese/fragen-antworten?page=0
Ulrike Bahr; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/ulrike-bahr/fragen-antworten?page=0
Cem Özdemir; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/cem-oezdemir/fragen-antworten?page=0
Ricarda Lang; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/ricarda-lang/fragen-antworten?page=0
Roderich Kiesewetter; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/roderich-kiesewetter/fragen-antworten?page=0
Sven Lehmann; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/sven-lehmann/fragen-antworten?page=0
Matthias Gastel; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/matthias-gastel/fragen-antworten?page=0
Filiz Polat; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/filiz-polat/fragen-antworten?page=0
Beatrix von Storch; AfD;Bundestag;https://www.abgeordnetenwatch.de//profile/beatrix-von-storch/fragen-antworten?page=0
Michael Roth; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/michael-roth/fragen-antworten?page=0
Konstantin von Notz; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/konstantin-von-notz/fragen-antworten?page=0
Lars Castellucci; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/lars-castellucci/fragen-antworten?page=0
Lars Klingbeil; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/lars-klingbeil/fragen-antworten?page=0
Lisa Badum; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/lisa-badum/fragen-antworten?page=0
Katharina Dröge; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/katharina-droege/fragen-antworten?page=0
Emilia Fester; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/emilia-fester/fragen-antworten?page=0
Konstantin Kuhle; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/konstantin-kuhle/fragen-antworten?page=0
Christian Dürr; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/christian-duerr/fragen-antworten?page=0
Mahmut Özdemir; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/mahmut-oezdemir/fragen-antworten?page=0
Ralf Stegner; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/ralf-stegner/fragen-antworten?page=0
Britta Haßelmann; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/britta-hasselmann/fragen-antworten?page=0
Paul Ziemiak; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/paul-ziemiak/fragen-antworten?page=0
Amira Mohamed Ali; BSW;Bundestag;https://www.abgeordnetenwatch.de//profile/amira-mohamed-ali/fragen-antworten?page=0
Sahra Wagenknecht; BSW;Bundestag;https://www.abgeordnetenwatch.de//profile/sahra-wagenknecht/fragen-antworten?page=0
Andrew Ullmann; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/andrew-ullmann/fragen-antworten?page=0
Svenja Schulze; SPD;Bundestag;https://www.abgeordnetenwatch.de//profile/svenja-schulze/fragen-antworten?page=0
Ingrid Nestle; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/ingrid-nestle/fragen-antworten?page=0
Katrin Helling-Plahr; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/katrin-helling-plahr/fragen-antworten?page=0
Julia Klöckner; CDU;Bundestag;https://www.abgeordnetenwatch.de//profile/julia-kloeckner/fragen-antworten?page=0
Linda Heitmann; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/linda-heitmann/fragen-antworten?page=0
Christoph Hoffmann; FDP;Bundestag;https://www.abgeordnetenwatch.de//profile/christoph-hoffmann/fragen-antworten?page=0
Jamila Anna Schäfer; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/jamila-anna-schaefer/fragen-antworten?page=0
Zoe Mayer; Bündnis 90/Die Grünen;Bundestag;https://www.abgeordnetenwatch.de//profile/zoe-mayer/fragen-antworten?page=0
Bodo Ramelow; DIE LINKE;Thüringen;https://www.abgeordnetenwatch.de//profile/bodo-ramelow/fragen-antworten?page=0
